id,date,brand,serie,model,year,fuel,transmission,km,type,hp,cc,traction,color,guarantee,Nation,from_whome,change,status,price,city,county,neighborhood
784949216,28 ocak 2020,ford,focus,1.6 ti-vct titanium x,2009,benzin & lpg,manuel,210.000,sedan,115,1596,önden çekiş,füme,hayır,türkiye (tr) plakalı,galeriden,hayır,i̇kinci el,61.750,Niğde,Merkez,İlhanlı Mh.
784919763,28 ocak 2020,ford,focus,1.6 ti-vct titanium,2012,benzin,yarı otomatik,94.000,sedan,125,1596,önden çekiş,beyaz,evet,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,96.950,İstanbul,Ümraniye,İstiklal Mh.
784789340,28 ocak 2020,ford,focus,1.6 ti-vct titanium,2014,benzin,yarı otomatik,136.000,sedan,125,1596,önden çekiş,gri,hayır,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,86.900,İstanbul,Bahçelievler,Çobançeşme Mh.
784791962,28 ocak 2020,ford,focus,1.6 tdci ghia,2006,dizel,manuel,190.000,sedan,110,1560,önden çekiş,beyaz,hayır,türkiye (tr) plakalı,galeriden,hayır,i̇kinci el,52.900,Ankara,Keçiören,Gümüşdere Mh.
784548131,27 ocak 2020,ford,focus,1.8 tdci comfort,2003,dizel,manuel,281.000,sedan,100,1753,önden çekiş,gümüş gri,hayır,türkiye (tr) plakalı,galeriden,hayır,i̇kinci el,37.900,İstanbul,Güngören,Merkez Mah.
772981721,27 ocak 2020,ford,focus,1.6 trend,2010,benzin & lpg,otomatik,245.000,sedan,100,1596,önden çekiş,gümüş gri,hayır,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,62.000,Ankara,Çankaya,Anıttepe Mh.
784275832,27 ocak 2020,ford,focus,1.6 tdci style,2015,dizel,manuel,271.000,sedan,115,1560,önden çekiş,gri,hayır,türkiye (tr) plakalı,sahibinden,evet,i̇kinci el,83.500,İstanbul,Bakırköy,Basınköy Mh.
784145434,26 ocak 2020,ford,focus,1.5 tdci trend x,2018,dizel,manuel,62.000,sedan,120,1500,önden çekiş,beyaz,evet,türkiye (tr) plakalı,galeriden,hayır,i̇kinci el,135.000,Manisa,Soma,Hürriyet Mh.
784097450,26 ocak 2020,ford,focus,1.5 tdci trend x,2016,dizel,yarı otomatik,83.000,sedan,120,1499,önden çekiş,beyaz,evet,türkiye (tr) plakalı,galeriden,hayır,i̇kinci el,121.750,İstanbul,Ümraniye,Yukarı Dudullu Mh.
783897659,25 ocak 2020,ford,focus,1.6 ti-vct titanium x,2010,benzin & lpg,manuel,136.000,sedan,115,1596,önden çekiş,siyah,hayır,türkiye (tr) plakalı,galeriden,hayır,i̇kinci el,71.750,Zonguldak,Ereğli,Kışla Mh.
783856758,25 ocak 2020,ford,focus,1.6 tdci trend x,2015,dizel,manuel,105.000,sedan,95,1560,önden çekiş,beyaz,hayır,türkiye (tr) plakalı,galeriden,hayır,i̇kinci el,91.500,Antalya,Kepez,Kültür Mh.
783753666,25 ocak 2020,ford,focus,1.5 tdci trend x,2016,dizel,yarı otomatik,136.000,sedan,120,1499,önden çekiş,beyaz,evet,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,115.250,Denizli,Merkezefendi,Kumkısık Mh.
763725985,24 ocak 2020,ford,focus,1.6 tdci trend x,2016,dizel,manuel,104.800,sedan,95,1560,önden çekiş,beyaz,hayır,türkiye (tr) plakalı,galeriden,hayır,i̇kinci el,108.500,Konya,Selçuklu,Feritpaşa Mh.
783500328,24 ocak 2020,ford,focus,1.6 tdci trend,2012,dizel,manuel,220.000,sedan,95,1560,önden çekiş,gümüş gri,hayır,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,64.500,Eskişehir,Odunpazarı,Sultandere 75. Yıl Mh.
783494657,24 ocak 2020,ford,focus,1.5 tdci trend x,2017,dizel,yarı otomatik,52.000,sedan,120,1499,önden çekiş,beyaz,evet,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,128.500,Adıyaman,Kahta,Yavuz Selim Mah.
783484013,24 ocak 2020,ford,focus,1.5 tdci trend x,2018,dizel,otomatik,68.000,sedan,120,1500,önden çekiş,beyaz,evet,türkiye (tr) plakalı,galeriden,hayır,i̇kinci el,136.900,Konya,Karatay,Fevziçakmak Mh.
